Name,Description,Range,Increment,Value,Read_only
AFS_AMSL_ERR_GPS,"This sets margin for error in GPS derived altitude limit. This error margin is only used if the barometer has failed. If the barometer fails then the GPS will be used to enforce the AMSL_LIMIT, but this margin will be subtracted from the AMSL_LIMIT first, to ensure that even with the given amount of GPS altitude error the pressure altitude is not breached. OBC users should set this to comply with their D2 safety case. A value of -1 will mean that barometer failure will lead to immediate termination.",,,,
AFS_QNH_PRESSURE,This sets the QNH pressure in millibars to be used for pressure altitude in the altitude limit. A value of zero disables the altitude limit.,,,,
AFS_MAX_GPS_LOSS,Maximum number of GPS loss events before the aircraft stops returning to mission on GPS recovery. Use zero to allow for any number of GPS loss events.,,,,
AFS_MAX_COM_LOSS,Maximum number of comms loss events before the aircraft stops returning to mission on comms recovery. Use zero to allow for any number of comms loss events.,,,,
AFS_GEOFENCE,This enables the geofence part of the AFS. Will only be in effect if AFS_ENABLE is also 1,,,,
AFS_RC,This enables the RC part of the AFS. Will only be in effect if AFS_ENABLE is also 1,,,,
AFS_RC_MAN_ONLY,"If this parameter is set to 1, then an RC loss will only cause the plane to terminate in manual control modes. If it is 0, then the plane will terminate in any flight mode.",,,,
AFS_DUAL_LOSS,"This enables the dual loss termination part of the AFS system. If this parameter is 1 and both GPS and the ground control station fail simultaneously, this will be considered a ""dual loss"" and cause termination.",,,,
AFS_RC_FAIL_TIME,This is the time in seconds in manual mode that failsafe termination will activate if RC input is lost. For the OBC rules this should be (1.5). Use 0 to disable.,,,,
AFS_MAX_RANGE,This is the maximum range of the vehicle in kilometers from first arming. If the vehicle goes beyond this range then the TERM_ACTION is performed. A value of zero disables this feature.,,,,
AHRS_GPS_GAIN,This controls how much to use the GPS to correct the attitude. This should never be set to zero for a plane as it would result in the plane losing control in turns. For a plane please use the default value of 1.0.,0.0 1.0,.01,,
AHRS_GPS_USE,"This controls whether to use dead-reckoning or GPS based navigation. If set to 0 then the GPS won't be used for navigation, and only dead reckoning will be used. A value of zero should never be used for normal flight. Currently this affects only the DCM-based AHRS: the EKF uses GPS according to its own parameters. A value of 2 means to use GPS for height as well as position - both in DCM estimation and when determining altitude-above-home.",,,0|1|2|,
AHRS_YAW_P,This controls the weight the compass or GPS has on the heading. A higher value means the heading will track the yaw source (GPS or compass) more rapidly.,0.1 0.4,.01,,
AHRS_RP_P,This controls how fast the accelerometers correct the attitude,0.1 0.4,.01,,
AHRS_WIND_MAX,This sets the maximum allowable difference between ground speed and airspeed. This allows the plane to cope with a failing airspeed sensor. A value of zero means to use the airspeed as is. See ARSPD_OPTIONS and ARSPD_MAX_WIND to disable airspeed sensors.,0 127,1,,
AHRS_TRIM_X,Compensates for the roll angle difference between the control board and the frame. Positive values make the vehicle roll right.,-0.1745 +0.1745,0.01,,
AHRS_TRIM_Y,Compensates for the pitch angle difference between the control board and the frame. Positive values make the vehicle pitch up/back.,-0.1745 +0.1745,0.01,,
AHRS_TRIM_Z,Not Used,-0.1745 +0.1745,0.01,,
AHRS_ORIENTATION,Overall board orientation relative to the standard orientation for the board type. This rotates the IMU and compass readings to allow the board to be oriented in your vehicle at any 90 or 45 degree angle. The label for each option is specified in the order of rotations for that orientation. This option takes affect on next boot. After changing you will need to re-level your vehicle.,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|42|43|100|101|102|,
AHRS_COMP_BETA,This controls the time constant for the cross-over frequency used to fuse AHRS (airspeed and heading) and GPS data to estimate ground velocity. Time constant is 0.1/beta. A larger time constant will use GPS data less and a small time constant will use air data less.,0.001 0.5,.01,,
AHRS_GPS_MINSATS,"Minimum number of satellites visible to use GPS for velocity based corrections attitude correction. This defaults to 6, which is about the point at which the velocity numbers from a GPS become too unreliable for accurate correction of the accelerometers.",0 10,1,,
AHRS_EKF_TYPE,This controls which NavEKF Kalman filter version is used for attitude and position estimation,,,0|2|3|11|,
AHRS_CUSTOM_ROLL,"Autopilot mounting position roll offset. Positive values = roll right, negative values = roll left. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
AHRS_CUSTOM_PIT,"Autopilot mounting position pitch offset. Positive values = pitch up, negative values = pitch down. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
AHRS_CUSTOM_YAW,"Autopilot mounting position yaw offset. Positive values = yaw right, negative values = yaw left. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
ARMING_ACCTHRESH,Accelerometer error threshold used to determine inconsistent accelerometers. Compares this error range to other accelerometers to detect a hardware or calibration error. Lower value means tighter check and harder to pass arming check. Not all accelerometers are created equal.,0.25 3.0,,,
ARMING_RUDDER,"Allow arm/disarm by rudder input. When enabled arming can be done with right rudder, disarming with left rudder. Rudder arming only works in manual throttle modes with throttle at zero +- deadzone (RCx_DZ)",,,0|1|2|,
ARMING_MIS_ITEMS,Bitmask of mission items that are required to be planned in order to arm the aircraft,,,,
ARMING_CHECK,"Checks prior to arming motor. This is a bitmask of checks that will be performed before allowing arming. For most users it is recommended to leave this at the default of 1 (all checks enabled). You can select whatever checks you prefer by adding together the values of each check type to set this parameter. For example, to only allow arming when you have GPS lock and no RC failsafe you would set ARMING_CHECK to 72.",,,,
AROT_ENABLE,Allows you to enable (1) or disable (0) the autonomous autorotation capability.,,,0|1|,
AROT_HS_P,Increase value to increase sensitivity of head speed controller during autonomous autorotation.,0.3 1,0.01,,
AROT_HS_SET_PT,The target head speed in RPM during autorotation.  Start by setting to desired hover speed and tune from there as necessary.,1000 2800,1,,
AROT_TARG_SP,Target ground speed in cm/s for the autorotation controller to try and achieve/ maintain during the glide phase.,800 2000,50,,
AROT_COL_FILT_E,Cut-off frequency for collective low pass filter.  For the entry phase.  Acts as a following trim.  Must be higher than AROT_COL_FILT_G.,0.2 0.5,0.01,,
AROT_COL_FILT_G,Cut-off frequency for collective low pass filter.  For the glide phase.  Acts as a following trim.  Must be lower than AROT_COL_FILT_E.,0.03 0.15,0.01,,
AROT_AS_ACC_MAX,Maximum forward acceleration to apply in speed controller.,30 60,10,,
AROT_BAIL_TIME,Time in seconds from bail out initiated to the exit of autorotation flight mode.,0.5 4,0.1,,
AROT_HS_SENSOR,Allocate the RPM sensor instance to use for measuring head speed.  RPM1 = 0.  RPM2 = 1.,0.5 3,0.1,,
AROT_FW_V_P,Velocity (horizontal) P gain.  Determines the propotion of the target acceleration based on the velocity error.,0.1 6.0,0.1,,
AROT_FW_V_FF,Velocity (horizontal) input filter.  Corrects the target acceleration proportionally to the desired velocity.,0 1,0.01,,
ARSPD_TYPE,Type of airspeed sensor,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ARSPD_DEVID,"Airspeed sensor ID, taking into account its type, bus and instance",,,,True
ARSPD_USE,Enables airspeed use for automatic throttle modes and replaces control from THR_TRIM. Continues to display and log airspeed if set to 0. Uses airspeed for control if set to 1. Only uses airspeed when throttle = 0 if set to 2 (useful for gliders with airspeed sensors behind propellers).,,,0|1|2|,
ARSPD_OFFSET,Airspeed calibration offset,,0.1,,
ARSPD_RATIO,Calibrates pitot tube pressure to velocity. Increasing this value will indicate a higher airspeed at any given dynamic pressure.,,0.1,,
ARSPD_PIN,The pin number that the airspeed sensor is connected to for analog sensors. Set to 15 on the Pixhawk for the analog airspeed port. ,,,,
ARSPD_AUTOCAL,Enables automatic adjustment of ARSPD_RATIO during a calibration flight based on estimation of ground speed and true airspeed. New ratio saved every 2 minutes if change is > 5%. Should not be left enabled.,,,,
ARSPD_TUBE_ORDER,"This parameter allows you to control whether the order in which the tubes are attached to your pitot tube matters. If you set this to 0 then the first (often the top) connector on the sensor needs to be the stagnation pressure (the pressure at the tip of the pitot tube). If set to 1 then the second (often the bottom) connector needs to be the stagnation pressure. If set to 2 (the default) then the airspeed driver will accept either order. The reason you may wish to specify the order is it will allow your airspeed sensor to detect if the aircraft is receiving excessive pressure on the static port compared to the stagnation port such as during a stall, which would otherwise be seen as a positive airspeed.",,,0|1|2|,
ARSPD_SKIP_CAL,"This parameter allows you to skip airspeed offset calibration on startup, instead using the offset from the last calibration. This may be desirable if the offset variance between flights for your sensor is low and you want to avoid having to cover the pitot tube on each boot.",,,0|1|,
ARSPD_PSI_RANGE,This parameter allows you to to set the PSI (pounds per square inch) range for your sensor. You should not change this unless you examine the datasheet for your device,,,,
ARSPD_BUS,Bus number of the I2C bus where the airspeed sensor is connected,,,0|1|2|,
ARSPD_PRIMARY,This selects which airspeed sensor will be the primary if multiple sensors are found,,,0|1|,
ARSPD_OPTIONS,"Bitmask of options to use with airspeed. 0:Disable use based on airspeed/groundspeed mismatch (see ARSPD_WIND_MAX), 1:Automatically reenable use based on airspeed/groundspeed mismatch recovery (see ARSPD_WIND_MAX) 2:Disable voltage correction",,,,
ARSPD_WIND_MAX,If the difference between airspeed and ground speed is greater than this value the sensor will be marked unhealthy. Using ARSPD_OPTION this health value can be used to disable the sensor.,,,,
ARSPD_WIND_WARN,If the difference between airspeed and ground speed is greater than this value the sensor will issue a warning. If 0 ARSPD_WIND_MAX is used.,,,,
ARSPD2_TYPE,Type of 2nd airspeed sensor,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ARSPD2_USE,"use airspeed for flight control. When set to 0 airspeed sensor can be logged and displayed on a GCS but won't be used for flight. When set to 1 it will be logged and used. When set to 2 it will be only used when the throttle is zero, which can be useful in gliders with airspeed sensors behind a propeller",,,0|1|2|,
ARSPD2_OFFSET,Airspeed calibration offset,,0.1,,
ARSPD2_RATIO,Airspeed calibration ratio,,0.1,,
ARSPD2_PIN,Pin number indicating location of analog airspeed sensors. Pixhawk/Cube if set to 15. ,,,,
ARSPD2_AUTOCAL,"If this is enabled then the autopilot will automatically adjust the ARSPD_RATIO during flight, based upon an estimation filter using ground speed and true airspeed. The automatic calibration will save the new ratio to EEPROM every 2 minutes if it changes by more than 5%. This option should be enabled for a calibration flight then disabled again when calibration is complete. Leaving it enabled all the time is not recommended.",,,,
ARSPD2_TUBE_ORDR,"This parameter allows you to control whether the order in which the tubes are attached to your pitot tube matters. If you set this to 0 then the first (often the top) connector on the sensor needs to be the stagnation pressure (the pressure at the tip of the pitot tube). If set to 1 then the second (often the bottom) connector needs to be the stagnation pressure. If set to 2 (the default) then the airspeed driver will accept either order. The reason you may wish to specify the order is it will allow your airspeed sensor to detect if the aircraft is receiving excessive pressure on the static port compared to the stagnation port such as during a stall, which would otherwise be seen as a positive airspeed.",,,0|1|2|,
ARSPD2_SKIP_CAL,"This parameter allows you to skip airspeed offset calibration on startup, instead using the offset from the last calibration. This may be desirable if the offset variance between flights for your sensor is low and you want to avoid having to cover the pitot tube on each boot.",,,0|1|,
ARSPD2_PSI_RANGE,This parameter allows you to to set the PSI (pounds per square inch) range for your sensor. You should not change this unless you examine the datasheet for your device,,,,
ARSPD2_BUS,The bus number of the I2C bus to look for the sensor on,,,0|1|2|,
ARSPD2_DEVID,"Airspeed2 sensor ID, taking into account its type, bus and instance",,,,True
ATC_SLEW_YAW,"Maximum rate the yaw target can be updated in Loiter, RTL, Auto flight modes",500 18000,100,,
ATC_ACCEL_Y_MAX,Maximum acceleration in yaw axis,0 72000,1000,0|9000|18000|36000|54000|,
ATC_RATE_FF_ENAB,Controls whether body-frame rate feedfoward is enabled or disabled,,,0|1|,
ATC_ACCEL_R_MAX,Maximum acceleration in roll axis,0 180000,1000,0|30000|72000|108000|162000|,
ATC_ACCEL_P_MAX,Maximum acceleration in pitch axis,0 180000,1000,0|30000|72000|108000|162000|,
ATC_ANGLE_BOOST,Angle Boost increases output throttle as the vehicle leans to reduce loss of altitude,,,0|1|,
ATC_ANG_RLL_P,Roll axis angle controller P gain.  Converts the error between the desired roll angle and actual angle to a desired roll rate,3.000 12.000,,,
ATC_ANG_PIT_P,Pitch axis angle controller P gain.  Converts the error between the desired pitch angle and actual angle to a desired pitch rate,3.000 12.000,,,
ATC_ANG_YAW_P,Yaw axis angle controller P gain.  Converts the error between the desired yaw angle and actual angle to a desired yaw rate,3.000 12.000,,,
ATC_ANG_LIM_TC,Angle Limit (to maintain altitude) Time Constant,0.5 10.0,,,
ATC_RATE_R_MAX,Maximum angular velocity in roll axis,0 1080,1,0|60|180|360|,
ATC_RATE_P_MAX,Maximum angular velocity in pitch axis,0 1080,1,0|60|180|360|,
ATC_RATE_Y_MAX,Maximum angular velocity in yaw axis,0 1080,1,0|60|180|360|,
ATC_INPUT_TC,"Attitude control input time constant.  Low numbers lead to sharper response, higher numbers to softer response",0 1,0.01,0.5|0.2|0.15|0.1|0.05|,
ATC_RAT_RLL_P,Roll axis rate controller P gain.  Converts the difference between desired roll rate and actual roll rate into a motor speed output,0.01 0.5,0.005,,
ATC_RAT_RLL_I,Roll axis rate controller I gain.  Corrects long-term difference in desired roll rate vs actual roll rate,0.01 2.0,0.01,,
ATC_RAT_RLL_IMAX,Roll axis rate controller I gain maximum.  Constrains the maximum motor output that the I gain will output,0 1,0.01,,
ATC_RAT_RLL_D,Roll axis rate controller D gain.  Compensates for short-term change in desired roll rate vs actual roll rate,0.0 0.05,0.001,,
ATC_RAT_RLL_FF,Roll axis rate controller feed forward,0 0.5,0.001,,
ATC_RAT_RLL_FLTT,Roll axis rate controller target frequency in Hz,5 100,1,,
ATC_RAT_RLL_FLTE,Roll axis rate controller error frequency in Hz,0 100,1,,
ATC_RAT_RLL_FLTD,Roll axis rate controller derivative frequency in Hz,5 100,1,,
