Name,Description,Range,Increment,Value,Read_only
MODE4,Driving mode for switch position 4 (1491 to 1620),,,0|1|3|4|5|6|7|10|11|12|15|,
MODE5,Driving mode for switch position 5 (1621 to 1749),,,0|1|3|4|5|6|7|10|11|12|15|,
MODE6,Driving mode for switch position 6 (1750 to 2049),,,0|1|3|4|5|6|7|10|11|12|15|,
SYSID_ENFORCE,This controls whether packets from other than the expected GCS system ID will be accepted,,,0|1|,
TURN_RADIUS,Turn radius of vehicle in meters while at low speeds.  Lower values produce tighter turns in steering mode,0 10,0.1,,
ACRO_TURN_RATE,Acro mode turn rate maximum,0 360,1,,
RTL_SPEED,Return-to-Launch speed default.  If zero use WP_SPEED or CRUISE_SPEED.,0 100,0.1,,
FRAME_CLASS,Frame Class,,,0|1|2|3|,
BAL_PITCH_MAX,Pitch angle in degrees at 100% throttle,0 5,0.1,,
CRASH_ANGLE,Pitch/Roll angle limit in degrees for crash check. Zero disables check,0 60,1,,
FRAME_TYPE,Frame Type,,,0|1|2|3|,
LOIT_TYPE,Loiter behaviour when moving to the target point,,,0|1|2|,
SIMPLE_TYPE,Simple mode types,,,0|1|,
LOIT_RADIUS,Vehicle will drift when within this distance of the target position,0 20,1,,
MIS_DONE_BEHAVE,Behaviour after mission completes,,,0|1|2|3|,
BAL_PITCH_TRIM,Balance Bot pitch trim for balancing. This offsets the tilt of the center of mass.,-2 2,0.1,,
STICK_MIXING,"When enabled, this adds steering user stick input in auto modes, allowing the user to have some degree of control without changing modes.",,,0|1|,
SPEED_MAX,"Maximum speed vehicle can obtain at full throttle. If 0, it will be estimated based on CRUISE_SPEED and CRUISE_THROTTLE.",0 30,0.1,,
LOIT_SPEED_GAIN,Determines how agressively LOITER tries to correct for drift from loiter point. Higher is faster but default should be acceptable.,0 5,0.01,,
FS_OPTIONS,Bitmask to enable failsafe options,,,0|1|,
GUID_OPTIONS,Options that can be applied to change guided mode behaviour,,,,
CH7_OPTION,What to do use channel 7 for,,,0|1|2|3|4|5|6|7|8|9|10|11|12|,
AUX_CH,RC Channel to use for auxiliary functions including saving waypoints,,,,
PIVOT_TURN_ANGLE,Navigation angle threshold in degrees to switch to pivot steering. This allows you to setup a skid steering rover to turn on the spot in auto mode when the angle it needs to turn it greater than this angle. An angle of zero means to disable pivot turning. Note that you will probably also want to set a low value for WP_RADIUS to get neat turns.,0 360,1,,
PIVOT_TURN_RATE,Desired pivot turn rate in deg/s.,0 360,1,,
AFS_ENABLE,This enables the advanced failsafe system. If this is set to zero (disable) then all the other AFS options have no effect,,,,
AFS_MAN_PIN,This sets a digital output pin to set high when in manual mode,,,,
AFS_HB_PIN,"This sets a digital output pin which is cycled at 10Hz when termination is not activated. Note that if a FS_TERM_PIN is set then the heartbeat pin will continue to cycle at 10Hz when termination is activated, to allow the termination board to distinguish between autopilot crash and termination.",,,-1|49|50|51|52|53|54|55|57|113|116|,
AFS_WP_COMMS,Waypoint number to navigate to on comms loss,,,,
AFS_WP_GPS_LOSS,Waypoint number to navigate to on GPS lock loss,,,,
AFS_TERMINATE,Can be set in flight to force termination of the heartbeat signal,,,,
AFS_TERM_ACTION,"This can be used to force an action on flight termination. Normally this is handled by an external failsafe board, but you can setup ArduPilot to handle it here. Please consult the wiki for more information on the possible values of the parameter",,,,
AFS_TERM_PIN,This sets a digital output pin to set high on flight termination,,,-1|49|50|51|52|53|54|55|57|113|116|,
AFS_AMSL_LIMIT,"This sets the AMSL (above mean sea level) altitude limit. If the pressure altitude determined by QNH exceeds this limit then flight termination will be forced. Note that this limit is in meters, whereas pressure altitude limits are often quoted in feet. A value of zero disables the pressure altitude limit.",,,,
AFS_AMSL_ERR_GPS,"This sets margin for error in GPS derived altitude limit. This error margin is only used if the barometer has failed. If the barometer fails then the GPS will be used to enforce the AMSL_LIMIT, but this margin will be subtracted from the AMSL_LIMIT first, to ensure that even with the given amount of GPS altitude error the pressure altitude is not breached. OBC users should set this to comply with their D2 safety case. A value of -1 will mean that barometer failure will lead to immediate termination.",,,,
AFS_QNH_PRESSURE,This sets the QNH pressure in millibars to be used for pressure altitude in the altitude limit. A value of zero disables the altitude limit.,,,,
AFS_MAX_GPS_LOSS,Maximum number of GPS loss events before the aircraft stops returning to mission on GPS recovery. Use zero to allow for any number of GPS loss events.,,,,
AFS_MAX_COM_LOSS,Maximum number of comms loss events before the aircraft stops returning to mission on comms recovery. Use zero to allow for any number of comms loss events.,,,,
AFS_GEOFENCE,This enables the geofence part of the AFS. Will only be in effect if AFS_ENABLE is also 1,,,,
AFS_RC,This enables the RC part of the AFS. Will only be in effect if AFS_ENABLE is also 1,,,,
AFS_RC_MAN_ONLY,"If this parameter is set to 1, then an RC loss will only cause the plane to terminate in manual control modes. If it is 0, then the plane will terminate in any flight mode.",,,,
AFS_DUAL_LOSS,"This enables the dual loss termination part of the AFS system. If this parameter is 1 and both GPS and the ground control station fail simultaneously, this will be considered a ""dual loss"" and cause termination.",,,,
AFS_RC_FAIL_TIME,This is the time in seconds in manual mode that failsafe termination will activate if RC input is lost. For the OBC rules this should be (1.5). Use 0 to disable.,,,,
AFS_MAX_RANGE,This is the maximum range of the vehicle in kilometers from first arming. If the vehicle goes beyond this range then the TERM_ACTION is performed. A value of zero disables this feature.,,,,
AHRS_GPS_GAIN,This controls how much to use the GPS to correct the attitude. This should never be set to zero for a plane as it would result in the plane losing control in turns. For a plane please use the default value of 1.0.,0.0 1.0,.01,,
AHRS_GPS_USE,"This controls whether to use dead-reckoning or GPS based navigation. If set to 0 then the GPS won't be used for navigation, and only dead reckoning will be used. A value of zero should never be used for normal flight. Currently this affects only the DCM-based AHRS: the EKF uses GPS according to its own parameters. A value of 2 means to use GPS for height as well as position - both in DCM estimation and when determining altitude-above-home.",,,0|1|2|,
AHRS_YAW_P,This controls the weight the compass or GPS has on the heading. A higher value means the heading will track the yaw source (GPS or compass) more rapidly.,0.1 0.4,.01,,
AHRS_RP_P,This controls how fast the accelerometers correct the attitude,0.1 0.4,.01,,
AHRS_WIND_MAX,This sets the maximum allowable difference between ground speed and airspeed. This allows the plane to cope with a failing airspeed sensor. A value of zero means to use the airspeed as is. See ARSPD_OPTIONS and ARSPD_MAX_WIND to disable airspeed sensors.,0 127,1,,
AHRS_TRIM_X,Compensates for the roll angle difference between the control board and the frame. Positive values make the vehicle roll right.,-0.1745 +0.1745,0.01,,
AHRS_TRIM_Y,Compensates for the pitch angle difference between the control board and the frame. Positive values make the vehicle pitch up/back.,-0.1745 +0.1745,0.01,,
AHRS_TRIM_Z,Not Used,-0.1745 +0.1745,0.01,,
AHRS_ORIENTATION,Overall board orientation relative to the standard orientation for the board type. This rotates the IMU and compass readings to allow the board to be oriented in your vehicle at any 90 or 45 degree angle. The label for each option is specified in the order of rotations for that orientation. This option takes affect on next boot. After changing you will need to re-level your vehicle.,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|42|43|100|101|102|,
AHRS_COMP_BETA,This controls the time constant for the cross-over frequency used to fuse AHRS (airspeed and heading) and GPS data to estimate ground velocity. Time constant is 0.1/beta. A larger time constant will use GPS data less and a small time constant will use air data less.,0.001 0.5,.01,,
AHRS_GPS_MINSATS,"Minimum number of satellites visible to use GPS for velocity based corrections attitude correction. This defaults to 6, which is about the point at which the velocity numbers from a GPS become too unreliable for accurate correction of the accelerometers.",0 10,1,,
AHRS_EKF_TYPE,This controls which NavEKF Kalman filter version is used for attitude and position estimation,,,0|2|3|11|,
AHRS_CUSTOM_ROLL,"Autopilot mounting position roll offset. Positive values = roll right, negative values = roll left. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
AHRS_CUSTOM_PIT,"Autopilot mounting position pitch offset. Positive values = pitch up, negative values = pitch down. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
AHRS_CUSTOM_YAW,"Autopilot mounting position yaw offset. Positive values = yaw right, negative values = yaw left. This parameter is only used when AHRS_ORIENTATION is set to CUSTOM.",-180 180,1,,
AIS_TYPE,AIS receiver type,,,0|1|,
AIS_LIST_MAX,AIS list size of nearest vessels. Longer lists take longer to refresh with lower SRx_ADSB values.,1 100,,,
AIS_TIME_OUT,if no updates are received in this time a vessel will be removed from the list,1 2000,,,
AIS_LOGGING,Bitmask of AIS logging options,,,,
ARMING_REQUIRE,"Arming disabled until some requirements are met. If 0, there are no requirements (arm immediately).  If 1, require rudder stick or GCS arming before arming motors and sends the minimum throttle PWM value to the throttle channel when disarmed.  If 2, require rudder stick or GCS arming and send 0 PWM to throttle channel when disarmed. See the ARMING_CHECK_* parameters to see what checks are done before arming. Note, if setting this parameter to 0 a reboot is required to arm the plane.  Also note, even with this parameter at 0, if ARMING_CHECK parameter is not also zero the plane may fail to arm throttle at boot due to a pre-arm check failure.",,,0|1|2|,
ARMING_ACCTHRESH,Accelerometer error threshold used to determine inconsistent accelerometers. Compares this error range to other accelerometers to detect a hardware or calibration error. Lower value means tighter check and harder to pass arming check. Not all accelerometers are created equal.,0.25 3.0,,,
ARMING_RUDDER,"Allow arm/disarm by rudder input. When enabled arming can be done with right rudder, disarming with left rudder. Rudder arming only works in manual throttle modes with throttle at zero +- deadzone (RCx_DZ)",,,0|1|2|,
ARMING_MIS_ITEMS,Bitmask of mission items that are required to be planned in order to arm the aircraft,,,,
ARMING_CHECK,"Checks prior to arming motor. This is a bitmask of checks that will be performed before allowing arming. For most users it is recommended to leave this at the default of 1 (all checks enabled). You can select whatever checks you prefer by adding together the values of each check type to set this parameter. For example, to only allow arming when you have GPS lock and no RC failsafe you would set ARMING_CHECK to 72.",,,,
ARSPD_TYPE,Type of airspeed sensor,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ARSPD_DEVID,"Airspeed sensor ID, taking into account its type, bus and instance",,,,True
ARSPD_USE,Enables airspeed use for automatic throttle modes and replaces control from THR_TRIM. Continues to display and log airspeed if set to 0. Uses airspeed for control if set to 1. Only uses airspeed when throttle = 0 if set to 2 (useful for gliders with airspeed sensors behind propellers).,,,0|1|2|,
ARSPD_OFFSET,Airspeed calibration offset,,0.1,,
ARSPD_RATIO,Calibrates pitot tube pressure to velocity. Increasing this value will indicate a higher airspeed at any given dynamic pressure.,,0.1,,
ARSPD_PIN,The pin number that the airspeed sensor is connected to for analog sensors. Set to 15 on the Pixhawk for the analog airspeed port. ,,,,
ARSPD_AUTOCAL,Enables automatic adjustment of ARSPD_RATIO during a calibration flight based on estimation of ground speed and true airspeed. New ratio saved every 2 minutes if change is > 5%. Should not be left enabled.,,,,
ARSPD_TUBE_ORDER,"This parameter allows you to control whether the order in which the tubes are attached to your pitot tube matters. If you set this to 0 then the first (often the top) connector on the sensor needs to be the stagnation pressure (the pressure at the tip of the pitot tube). If set to 1 then the second (often the bottom) connector needs to be the stagnation pressure. If set to 2 (the default) then the airspeed driver will accept either order. The reason you may wish to specify the order is it will allow your airspeed sensor to detect if the aircraft is receiving excessive pressure on the static port compared to the stagnation port such as during a stall, which would otherwise be seen as a positive airspeed.",,,0|1|2|,
ARSPD_SKIP_CAL,"This parameter allows you to skip airspeed offset calibration on startup, instead using the offset from the last calibration. This may be desirable if the offset variance between flights for your sensor is low and you want to avoid having to cover the pitot tube on each boot.",,,0|1|,
ARSPD_PSI_RANGE,This parameter allows you to to set the PSI (pounds per square inch) range for your sensor. You should not change this unless you examine the datasheet for your device,,,,
ARSPD_BUS,Bus number of the I2C bus where the airspeed sensor is connected,,,0|1|2|,
ARSPD_PRIMARY,This selects which airspeed sensor will be the primary if multiple sensors are found,,,0|1|,
ARSPD_OPTIONS,"Bitmask of options to use with airspeed. 0:Disable use based on airspeed/groundspeed mismatch (see ARSPD_WIND_MAX), 1:Automatically reenable use based on airspeed/groundspeed mismatch recovery (see ARSPD_WIND_MAX) 2:Disable voltage correction",,,,
ARSPD_WIND_MAX,If the difference between airspeed and ground speed is greater than this value the sensor will be marked unhealthy. Using ARSPD_OPTION this health value can be used to disable the sensor.,,,,
ARSPD_WIND_WARN,If the difference between airspeed and ground speed is greater than this value the sensor will issue a warning. If 0 ARSPD_WIND_MAX is used.,,,,
ARSPD2_TYPE,Type of 2nd airspeed sensor,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ARSPD2_USE,"use airspeed for flight control. When set to 0 airspeed sensor can be logged and displayed on a GCS but won't be used for flight. When set to 1 it will be logged and used. When set to 2 it will be only used when the throttle is zero, which can be useful in gliders with airspeed sensors behind a propeller",,,0|1|2|,
ARSPD2_OFFSET,Airspeed calibration offset,,0.1,,
ARSPD2_RATIO,Airspeed calibration ratio,,0.1,,
ARSPD2_PIN,Pin number indicating location of analog airspeed sensors. Pixhawk/Cube if set to 15. ,,,,
ARSPD2_AUTOCAL,"If this is enabled then the autopilot will automatically adjust the ARSPD_RATIO during flight, based upon an estimation filter using ground speed and true airspeed. The automatic calibration will save the new ratio to EEPROM every 2 minutes if it changes by more than 5%. This option should be enabled for a calibration flight then disabled again when calibration is complete. Leaving it enabled all the time is not recommended.",,,,
ARSPD2_TUBE_ORDR,"This parameter allows you to control whether the order in which the tubes are attached to your pitot tube matters. If you set this to 0 then the first (often the top) connector on the sensor needs to be the stagnation pressure (the pressure at the tip of the pitot tube). If set to 1 then the second (often the bottom) connector needs to be the stagnation pressure. If set to 2 (the default) then the airspeed driver will accept either order. The reason you may wish to specify the order is it will allow your airspeed sensor to detect if the aircraft is receiving excessive pressure on the static port compared to the stagnation port such as during a stall, which would otherwise be seen as a positive airspeed.",,,0|1|2|,
ARSPD2_SKIP_CAL,"This parameter allows you to skip airspeed offset calibration on startup, instead using the offset from the last calibration. This may be desirable if the offset variance between flights for your sensor is low and you want to avoid having to cover the pitot tube on each boot.",,,0|1|,
ARSPD2_PSI_RANGE,This parameter allows you to to set the PSI (pounds per square inch) range for your sensor. You should not change this unless you examine the datasheet for your device,,,,
ARSPD2_BUS,The bus number of the I2C bus to look for the sensor on,,,0|1|2|,
ARSPD2_DEVID,"Airspeed2 sensor ID, taking into account its type, bus and instance",,,,True
ATC_STR_RAT_P,Steering control rate P gain.  Converts the turn rate error (in radians/sec) to a steering control output (in the range -1 to +1),0.000 2.000,0.001,,
ATC_STR_RAT_I,Steering control I gain.  Corrects long term error between the desired turn rate (in rad/s) and actual,0.000 2.000,0.001,,
ATC_STR_RAT_IMAX,Steering control I gain maximum.  Constrains the steering output (range -1 to +1) that the I term will generate,0.000 1.000,0.01,,
ATC_STR_RAT_D,Steering control D gain.  Compensates for short-term change in desired turn rate vs actual,0.000 0.400,0.001,,
ATC_STR_RAT_FF,Steering control feed forward,0.000 3.000,0.001,,
ATC_STR_RAT_FILT,Steering control input filter.  Lower values reduce noise but add delay.,0.000 100.000,0.1,,
ATC_STR_RAT_FLTT,Target filter frequency in Hz,0.000 100.000,0.1,,
ATC_STR_RAT_FLTE,Error filter frequency in Hz,0.000 100.000,0.1,,
ATC_STR_RAT_FLTD,Derivative filter frequency in Hz,0.000 100.000,0.1,,
ATC_STR_RAT_SMAX,"Sets an upper limit on the slew rate produced by the combined P and D gains. If the amplitude of the control action produced by the rate feedback exceeds this value, then the D+P gain is reduced to respect the limit. This limits the amplitude of high frequency oscillations caused by an excessive gain. The limit should be set to no more than 25% of the actuators maximum slew rate to allow for load effects. Note: The gain will not be reduced to less than 10% of the nominal value. A value of zero will disable this feature.",0 200,0.5,,
ATC_SPEED_P,Speed control P gain.  Converts the error between the desired speed (in m/s) and actual speed to a motor output (in the range -1 to +1),0.010 2.000,0.01,,
ATC_SPEED_I,Speed control I gain.  Corrects long term error between the desired speed (in m/s) and actual speed,0.000 2.000,0.01,,
ATC_SPEED_IMAX,Speed control I gain maximum.  Constrains the maximum motor output (range -1 to +1) that the I term will generate,0.000 1.000,0.01,,
ATC_SPEED_D,Speed control D gain.  Compensates for short-term change in desired speed vs actual,0.000 0.400,0.001,,
ATC_SPEED_FF,Speed control feed forward,0.000 0.500,0.001,,
ATC_SPEED_FILT,Speed control input filter.  Lower values reduce noise but add delay.,0.000 100.000,0.1,,
ATC_SPEED_FLTT,Target filter frequency in Hz,0.000 100.000,0.1,,
ATC_SPEED_FLTE,Error filter frequency in Hz,0.000 100.000,0.1,,
ATC_SPEED_FLTD,Derivative filter frequency in Hz,0.000 100.000,0.1,,
ATC_SPEED_SMAX,"Sets an upper limit on the slew rate produced by the combined P and D gains. If the amplitude of the control action produced by the rate feedback exceeds this value, then the D+P gain is reduced to respect the limit. This limits the amplitude of high frequency oscillations caused by an excessive gain. The limit should be set to no more than 25% of the actuators maximum slew rate to allow for load effects. Note: The gain will not be reduced to less than 10% of the nominal value. A value of zero will disable this feature.",0 200,0.5,,
ATC_ACCEL_MAX,Speed control acceleration (and deceleration) maximum in m/s/s.  0 to disable acceleration limiting,0.0 10.0,0.1,,
ATC_BRAKE,Speed control brake enable/disable. Allows sending a reversed output to the motors to slow the vehicle.,,,0|1|,
ATC_STOP_SPEED,Speed control stop speed.  Motor outputs to zero once vehicle speed falls below this value,0.00 0.50,0.01,,
ATC_STR_ANG_P,Steering control angle P gain.  Converts the error between the desired heading/yaw (in radians) and actual heading/yaw to a desired turn rate (in rad/sec),1.000 10.000,0.1,,
ATC_STR_ACC_MAX,Steering control angular acceleration maximum (in deg/s/s).  0 to disable acceleration limiting,0 1000,0.1,,
ATC_STR_RAT_MAX,Steering control rotation rate maximum in deg/s.  0 to remove rate limiting,0 1000,0.1,,
ATC_DECEL_MAX,Speed control and deceleration maximum in m/s/s.  0 to use ATC_ACCEL_MAX for deceleration,0.0 10.0,0.1,,
ATC_BAL_P,Pitch control P gain for BalanceBots.  Converts the error between the desired pitch (in radians) and actual pitch to a motor output (in the range -1 to +1),0.000 2.000,0.01,,
ATC_BAL_I,Pitch control I gain for BalanceBots.  Corrects long term error between the desired pitch (in radians) and actual pitch,0.000 2.000,0.01,,
ATC_BAL_IMAX,Pitch control I gain maximum.  Constrains the maximum motor output (range -1 to +1) that the I term will generate,0.000 1.000,0.01,,
ATC_BAL_D,Pitch control D gain.  Compensates for short-term change in desired pitch vs actual,0.000 0.100,0.001,,
ATC_BAL_FF,Pitch control feed forward,0.000 0.500,0.001,,
ATC_BAL_FILT,Pitch control input filter.  Lower values reduce noise but add delay.,0.000 100.000,0.1,,
ATC_BAL_FLTT,Target filter frequency in Hz,0.000 100.000,0.1,,
ATC_BAL_FLTE,Error filter frequency in Hz,0.000 100.000,0.1,,
ATC_BAL_FLTD,Derivative filter frequency in Hz,0.000 100.000,0.1,,
ATC_BAL_SMAX,"Sets an upper limit on the slew rate produced by the combined P and D gains. If the amplitude of the control action produced by the rate feedback exceeds this value, then the D+P gain is reduced to respect the limit. This limits the amplitude of high frequency oscillations caused by an excessive gain. The limit should be set to no more than 25% of the actuators maximum slew rate to allow for load effects. Note: The gain will not be reduced to less than 10% of the nominal value. A value of zero will disable this feature.",0 200,0.5,,
ATC_BAL_SPD_FF,Pitch control feed forward from speed,0.0 10.0,0.01,,
ATC_SAIL_P,Sail Heel control P gain for sailboats.  Converts the error between the desired heel angle (in radians) and actual heel to a main sail output (in the range -1 to +1),0.000 2.000,0.01,,
ATC_SAIL_I,Sail Heel control I gain for sailboats.  Corrects long term error between the desired heel angle (in radians) and actual,0.000 2.000,0.01,,
ATC_SAIL_IMAX,Sail Heel control I gain maximum.  Constrains the maximum I term contribution to the main sail output (range -1 to +1),0.000 1.000,0.01,,
ATC_SAIL_D,Sail Heel control D gain.  Compensates for short-term change in desired heel angle vs actual,0.000 0.100,0.001,,
ATC_SAIL_FF,Sail Heel control feed forward,0.000 0.500,0.001,,
ATC_SAIL_FILT,Sail Heel control input filter.  Lower values reduce noise but add delay.,0.000 100.000,0.1,,
ATC_SAIL_FLTT,Target filter frequency in Hz,0.000 100.000,0.1,,
ATC_SAIL_FLTE,Error filter frequency in Hz,0.000 100.000,0.1,,
ATC_SAIL_FLTD,Derivative filter frequency in Hz,0.000 100.000,0.1,,
ATC_SAIL_SMAX,"Sets an upper limit on the slew rate produced by the combined P and D gains. If the amplitude of the control action produced by the rate feedback exceeds this value, then the D+P gain is reduced to respect the limit. This limits the amplitude of high frequency oscillations caused by an excessive gain. The limit should be set to no more than 25% of the actuators maximum slew rate to allow for load effects. Note: The gain will not be reduced to less than 10% of the nominal value. A value of zero will disable this feature.",0 200,0.5,,
ATC_TURN_MAX_G,The maximum turning acceleration (in units of gravities) that the rover can handle while remaining stable. The navigation code will keep the lateral acceleration below this level to avoid rolling over or slipping the wheels in turns,0.1 10,0.01,,
AVOID_ENABLE,Enabled/disable avoidance input sources,,,,
AVOID_MARGIN,Vehicle will attempt to stay at least this distance (in meters) from objects while in GPS modes,1 10,,,
AVOID_BEHAVE,Avoidance behaviour (slide or stop),,,0|1|,
AVOID_BACKUP_SPD,Maximum speed that will be used to back away from obstacles in GPS modes (m/s). Set zero to disable,0 2,,,
AVOID_ACCEL_MAX,Maximum acceleration with which obstacles will be avoided with. Set zero to disable acceleration limits,0 9,,,
AVOID_BACKUP_DZ,"Distance beyond AVOID_MARGIN parameter, after which vehicle will backaway from obstacles. Increase this parameter if you see vehicle going back and forth in front of obstacle.",0 2,,,
BARO1_GND_PRESS,calibrated ground pressure in Pascals,,1,,True
BARO_GND_TEMP,User provided ambient ground temperature in degrees Celsius. This is used to improve the calculation of the altitude the vehicle is at. This parameter is not persistent and will be reset to 0 every time the vehicle is rebooted. A value of 0 means use the internal measurement ambient temperature.,,1,,
BARO_ALT_OFFSET,altitude offset in meters added to barometric altitude. This is used to allow for automatic adjustment of the base barometric altitude by a ground station equipped with a barometer. The value is added to the barometric altitude read by the aircraft. It is automatically reset to 0 when the barometer is calibrated on each reboot or when a preflight calibration is performed.,,0.1,,
BARO_PRIMARY,This selects which barometer will be the primary if multiple barometers are found,,,0|1|2|,
BARO_EXT_BUS,This selects the bus number for looking for an I2C barometer. When set to -1 it will probe all external i2c buses based on the GND_PROBE_EXT parameter.,,,-1|0|1|,
BARO_SPEC_GRAV,This sets the specific gravity of the fluid when flying an underwater ROV.,,,1.0|1.024|,
BARO2_GND_PRESS,calibrated ground pressure in Pascals,,1,,True
BARO3_GND_PRESS,calibrated ground pressure in Pascals,,1,,True
BARO_FLTR_RNG,This sets the range around the average value that new samples must be within to be accepted. This can help reduce the impact of noise on sensors that are on long I2C cables. The value is a percentage from the average value. A value of zero disables this filter.,0 100,1,,
BARO_PROBE_EXT,"This sets which types of external i2c barometer to look for. It is a bitmask of barometer types. The I2C buses to probe is based on GND_EXT_BUS. If BARO_EXT_BUS is -1 then it will probe all external buses, otherwise it will probe just the bus number given in GND_EXT_BUS.",,,,
BARO1_DEVID,"Barometer sensor ID, taking into account its type, bus and instance",,,,True
BARO2_DEVID,"Barometer2 sensor ID, taking into account its type, bus and instance",,,,True
BARO3_DEVID,"Barometer3 sensor ID, taking into account its type, bus and instance",,,,True
BARO1_WCF_ENABLE,This enables the use of wind coefficients for barometer compensation,,,0|1|,
BARO1_WCF_FWD,"This is the ratio of static pressure error to dynamic pressure generated by a positive wind relative velocity along the X body axis. If the baro height estimate rises during forwards flight, then this will be a negative number. Multirotors can use this feature only if using EKF3 and if the EK3_BCOEF_X and EK3_BCOEF_Y parameters have been tuned.",-1.0 1.0,0.05,,
BARO1_WCF_BCK,"This is the ratio of static pressure error to dynamic pressure generated by a negative wind relative velocity along the X body axis. If the baro height estimate rises during backwards flight, then this will be a negative number. Multirotors can use this feature only if using EKF3 and if the EK3_BCOEF_X and EK3_BCOEF_Y parameters have been tuned.",-1.0 1.0,0.05,,
BARO1_WCF_RGT,"This is the ratio of static pressure error to dynamic pressure generated by a positive wind relative velocity along the Y body axis. If the baro height estimate rises during sideways flight to the right, then this should be a negative number. Multirotors can use this feature only if using EKF3 and if the EK3_BCOEF_X and EK3_BCOEF_Y parameters have been tuned.",-1.0 1.0,0.05,,
