Name,Description,Range,Increment,Value,Read_only
TKOFF_THR_DELAY,This parameter sets the time delay (in 1/10ths of a second) that the ground speed check is delayed after the forward acceleration check controlled by TKOFF_THR_MINACC has passed. For hand launches with pusher propellers it is essential that this is set to a value of no less than 2 (0.2 seconds) to ensure that the aircraft is safely clear of the throwers arm before the motor can start. For bungee launches a larger value can be used (such as 30) to give time for the bungee to release from the aircraft before the motor is started.,0 127,1,,
TKOFF_TDRAG_ELEV,"This parameter sets the amount of elevator to apply during the initial stage of a takeoff. It is used to hold the tail wheel of a taildragger on the ground during the initial takeoff stage to give maximum steering. This option should be combined with the TKOFF_TDRAG_SPD1 option and the GROUND_STEER_ALT option along with tuning of the ground steering controller. A value of zero means to bypass the initial ""tail hold"" stage of takeoff. Set to zero for hand and catapult launch. For tail-draggers you should normally set this to 100, meaning full up elevator during the initial stage of takeoff. For most tricycle undercarriage aircraft a value of zero will work well, but for some tricycle aircraft a small negative value (say around -20 to -30) will apply down elevator which will hold the nose wheel firmly on the ground during initial acceleration. Only use a negative value if you find that the nosewheel doesn't grip well during takeoff. Too much down elevator on a tricycle undercarriage may cause instability in steering as the plane pivots around the nosewheel. Add down elevator 10 percent at a time.",-100 100,1,,
TKOFF_TDRAG_SPD1,"This parameter sets the airspeed at which to stop holding the tail down and transition to rudder control of steering on the ground. When TKOFF_TDRAG_SPD1 is reached the pitch of the aircraft will be held level until TKOFF_ROTATE_SPD is reached, at which point the takeoff pitch specified in the mission will be used to ""rotate"" the pitch for takeoff climb. Set TKOFF_TDRAG_SPD1 to zero to go straight to rotation. This should be set to zero for hand launch and catapult launch. It should also be set to zero for tricycle undercarriages unless you are using the method above to genetly hold the nose wheel down. For tail dragger aircraft it should be set just below the stall speed.",0 30,0.1,,
TKOFF_ROTATE_SPD,"This parameter sets the airspeed at which the aircraft will ""rotate"", setting climb pitch specified in the mission. If TKOFF_ROTATE_SPD is zero then the climb pitch will be used as soon as takeoff is started. For hand launch and catapult launches a TKOFF_ROTATE_SPD of zero should be set. For all ground launches TKOFF_ROTATE_SPD should be set above the stall speed, usually by about 10 to 30 percent",0 30,0.1,,
TKOFF_THR_SLEW,"This parameter sets the slew rate for the throttle during auto takeoff. When this is zero the THR_SLEWRATE parameter is used during takeoff. For rolling takeoffs it can be a good idea to set a lower slewrate for takeoff to give a slower acceleration which can improve ground steering control. The value is a percentage throttle change per second, so a value of 20 means to advance the throttle over 5 seconds on takeoff. Values below 20 are not recommended as they may cause the plane to try to climb out with too little throttle. A value of -1 means no limit on slew rate in takeoff.",-1 127,1,,
TKOFF_PLIM_SEC,"This parameter reduces the pitch minimum limit of an auto-takeoff just a few seconds before it reaches the target altitude. This reduces overshoot by allowing the flight controller to start leveling off a few seconds before reaching the target height. When set to zero, the mission pitch min is enforced all the way to and through the target altitude, otherwise the pitch min slowly reduces to zero in the final segment. This is the pitch_min, not the demand. The flight controller should still be commanding to gain altitude to finish the takeoff but with this param it is not forcing it higher than it wants to be.",0 10,0.5,,
TKOFF_FLAP_PCNT,The amount of flaps (as a percentage) to apply in automatic takeoff,0 100,1,,
LEVEL_ROLL_LIMIT,"This controls the maximum bank angle in degrees during flight modes where level flight is desired, such as in the final stages of landing, and during auto takeoff. This should be a small angle (such as 5 degrees) to prevent a wing hitting the runway during takeoff or landing. Setting this to zero will completely disable heading hold on auto takeoff and final landing approach.",0 45,1,,
USE_REV_THRUST,"This controls when to use reverse thrust. If set to zero then reverse thrust is never used. If set to a non-zero value then the bits correspond to flight stages where reverse thrust may be used. The most commonly used value for USE_REV_THRUST is 2, which means AUTO_LAND only. That enables reverse thrust in the landing stage of AUTO mode. Another common choice is 1, which means to use reverse thrust in all auto flight stages. Reverse thrust is always used in MANUAL mode if enabled with THR_MIN < 0. In non-autothrottle controlled modes, if reverse thrust is not used, then THR_MIN is effectively set to 0 for that mode.",,,0|1|2|,
ALT_OFFSET,This is added to the target altitude in automatic flight. It can be used to add a global altitude offset to a mission,-32767 32767,1,,
WP_RADIUS,"Defines the maximum distance from a waypoint that when crossed indicates the waypoint may be complete. To avoid the aircraft looping around the waypoint in case it misses by more than the WP_RADIUS an additional check is made to see if the aircraft has crossed a ""finish line"" passing through the waypoint and perpendicular to the flight path from the previous waypoint. If that finish line is crossed then the waypoint is considered complete. Note that the navigation controller may decide to turn later than WP_RADIUS before a waypoint, based on how sharp the turn is and the speed of the aircraft. It is safe to set WP_RADIUS much larger than the usual turn radius of your aircraft and the navigation controller will work out when to turn. If you set WP_RADIUS too small then you will tend to overshoot the turns.",1 32767,1,,
WP_MAX_RADIUS,"Sets the maximum distance to a waypoint for the waypoint to be considered complete. This overrides the ""cross the finish line"" logic that is normally used to consider a waypoint complete. For normal AUTO behaviour this parameter should be set to zero. Using a non-zero value is only recommended when it is critical that the aircraft does approach within the given radius, and should loop around until it has done so. This can cause the aircraft to loop forever if its turn radius is greater than the maximum radius set.",0 32767,1,,
WP_LOITER_RAD,"Defines the distance from the waypoint center, the plane will maintain during a loiter. If you set this value to a negative number then the default loiter direction will be counter-clockwise instead of clockwise.",-32767 32767,1,,
RTL_RADIUS,Defines the radius of the loiter circle when in RTL mode. If this is zero then WP_LOITER_RAD is used. If the radius is negative then a counter-clockwise is used. If positive then a clockwise loiter is used.,-32767 32767,1,,
STALL_PREVENTION,"Enables roll limits at low airspeed in roll limiting flight modes. Roll limits based on aerodynamic load factor in turns and scale on ARSPD_FBW_MIN that must be set correctly. Without airspeed sensor, uses synthetic airspeed from wind speed estimate that may both be inaccurate.",,,0|1|,
ARSPD_FBW_MIN,Minimum airspeed demanded in automatic throttle modes. Should be set to 20% higher than level flight stall speed.,5 100,1,,
ARSPD_FBW_MAX,Maximum airspeed demanded in automatic throttle modes. Should be set slightly less than level flight speed at THR_MAX and also at least 50% above ARSPD_FBW_MIN to allow for accurate TECS altitude control.,5 100,1,,
FBWB_ELEV_REV,"Reverse sense of elevator in FBWB and CRUISE modes. When set to 0 up elevator (pulling back on the stick) means to lower altitude. When set to 1, up elevator means to raise altitude.",,,0|1|,
TERRAIN_FOLLOW,"This enables terrain following for CRUISE mode, FBWB mode, RTL and for rally points. To use this option you also need to set TERRAIN_ENABLE to 1, which enables terrain data fetching from the GCS, and you need to have a GCS that supports sending terrain data to the aircraft. When terrain following is enabled then CRUISE and FBWB mode will hold height above terrain rather than height above home. In RTL the return to launch altitude will be considered to be a height above the terrain. Rally point altitudes will be taken as height above the terrain. This option does not affect mission items, which have a per-waypoint flag for whether they are height above home or height above the terrain. To use terrain following missions you need a ground station which can set the waypoint type to be a terrain height waypoint when creating the mission.",,,0|1|,
TERRAIN_LOOKAHD,"This controls how far ahead the terrain following code looks to ensure it stays above upcoming terrain. A value of zero means no lookahead, so the controller will track only the terrain directly below the aircraft. The lookahead will never extend beyond the next waypoint when in AUTO mode.",0 10000,,,
FBWB_CLIMB_RATE,"This sets the rate in m/s at which FBWB and CRUISE modes will change its target altitude for full elevator deflection. Note that the actual climb rate of the aircraft can be lower than this, depending on your airspeed and throttle control settings. If you have this parameter set to the default value of 2.0, then holding the elevator at maximum deflection for 10 seconds would change the target altitude by 20 meters.",1 10,0.1,,
THR_MIN,"Minimum throttle percentage used in all modes except manual, provided THR_PASS_STAB is not set. Negative values allow reverse thrust if hardware supports it.",-100 100,1,,
THR_MAX,"Maximum throttle percentage used in all modes except manual, provided THR_PASS_STAB is not set.",0 100,1,,
TKOFF_THR_MAX,The maximum throttle setting during automatic takeoff. If this is zero then THR_MAX is used for takeoff as well.,0 100,1,,
THR_SLEWRATE,Maximum change in throttle percentage per second. Lower limit  based on 1 microsend of servo increase per loop. Divide SCHED_LOOP_RATE by approximately 10 to determine minimum achievable value.,0 127,1,,
FLAP_SLEWRATE,maximum percentage change in flap output per second. A setting of 25 means to not change the flap by more than 25% of the full flap range in one second. A value of 0 means no rate limiting.,0 100,1,,
THR_SUPP_MAN,"When throttle is suppressed in auto mode it is normally forced to zero. If you enable this option, then while suppressed it will be manual throttle. This is useful on petrol engines to hold the idle throttle manually while waiting for takeoff",,,0|1|,
THR_PASS_STAB,"If this is set then when in STABILIZE, FBWA or ACRO modes the throttle is a direct passthru from the transmitter. This means the THR_MIN and THR_MAX settings are not used in these modes. This is useful for petrol engines where you setup a throttle cut switch that suppresses the throttle below the normal minimum.",,,0|1|,
THR_FAILSAFE,"0 disables the failsafe. 1 enables failsafe on loss of RC input. This is detected either by throttle values below THR_FS_VALUE, loss of receiver valid pulses/data, or by the FS bit in receivers that provide it, like SBUS. A programmable failsafe action will occur and RC inputs, if present, will be ignored. A value of 2 means that the RC inputs won't be used when RC failsafe is detected by any of the above methods, but it won't trigger an RC failsafe action.",,,0|1|2|,
THR_FS_VALUE,The PWM level on the throttle input channel below which throttle failsafe triggers. Note that this should be well below the normal minimum for your throttle channel.,925 2200,1,,
TRIM_THROTTLE,Target percentage of throttle to apply for flight in automatic throttle modes and throttle percentage that maintains TRIM_ARSPD_CM. Caution: low battery voltages at the end of flights may require higher throttle to maintain airspeed.,0 100,1,,
THROTTLE_NUDGE,"When enabled, this uses the throttle input in auto-throttle modes to 'nudge' the throttle or airspeed to higher or lower values. When you have an airspeed sensor the nudge affects the target airspeed, so that throttle inputs above 50% will increase the target airspeed from TRIM_ARSPD_CM up to a maximum of ARSPD_FBW_MAX. When no airspeed sensor is enabled the throttle nudge will push up the target throttle for throttle inputs above 50%.",,,0|1|,
FS_SHORT_ACTN,"The action to take on a short (FS_SHORT_TIMEOUT) failsafe event. A short failsafe event can be triggered either by loss of RC control (see THR_FS_VALUE) or by loss of GCS control (see FS_GCS_ENABL). If in CIRCLE or RTL mode this parameter is ignored. A short failsafe event in stabilization and manual modes will cause a change to CIRCLE mode if FS_SHORT_ACTN is 0 or 1, a change to FBWA mode with zero throttle if FS_SHORT_ACTN is 2, and a change to FBWB mode if FS_SHORT_ACTN is 4. In all other modes (AUTO, GUIDED and LOITER) a short failsafe event will cause no mode change if FS_SHORT_ACTN is set to 0, will cause a change to CIRCLE mode if set to 1, will change to FBWA mode with zero throttle if set to 2, or will change to FBWB if set to 4. Please see the documentation for FS_LONG_ACTN for the behaviour after FS_LONG_TIMEOUT seconds of failsafe.",,,0|1|2|3|4|,
FS_SHORT_TIMEOUT,The time in seconds that a failsafe condition has to persist before a short failsafe event will occur. This defaults to 1.5 seconds,1 100,0.5,,
FS_LONG_ACTN,"The action to take on a long (FS_LONG_TIMEOUT seconds) failsafe event. If the aircraft was in a stabilization or manual mode when failsafe started and a long failsafe occurs then it will change to RTL mode if FS_LONG_ACTN is 0 or 1, and will change to FBWA if FS_LONG_ACTN is set to 2. If the aircraft was in an auto mode (such as AUTO or GUIDED) when the failsafe started then it will continue in the auto mode if FS_LONG_ACTN is set to 0, will change to RTL mode if FS_LONG_ACTN is set to 1 and will change to FBWA mode if FS_LONG_ACTN is set to 2. If FS_LONG_ACTION is set to 3, the parachute will be deployed (make sure the chute is configured and enabled).",,,0|1|2|3|,
FS_LONG_TIMEOUT,The time in seconds that a failsafe condition has to persist before a long failsafe event will occur. This defaults to 5 seconds.,1 300,0.5,,
FS_GCS_ENABL,"Enable ground control station telemetry failsafe. Failsafe will trigger after FS_LONG_TIMEOUT seconds of no MAVLink heartbeat messages. There are three possible enabled settings. Setting FS_GCS_ENABL to 1 means that GCS failsafe will be triggered when the aircraft has not received a MAVLink HEARTBEAT message. Setting FS_GCS_ENABL to 2 means that GCS failsafe will be triggered on either a loss of HEARTBEAT messages, or a RADIO_STATUS message from a MAVLink enabled 3DR radio indicating that the ground station is not receiving status updates from the aircraft, which is indicated by the RADIO_STATUS.remrssi field being zero (this may happen if you have a one way link due to asymmetric noise on the ground station and aircraft radios).Setting FS_GCS_ENABL to 3 means that GCS failsafe will be triggered by Heartbeat(like option one), but only in AUTO mode. WARNING: Enabling this option opens up the possibility of your plane going into failsafe mode and running the motor on the ground it it loses contact with your ground station. If this option is enabled on an electric plane then you should enable ARMING_REQUIRED.",,,0|1|2|3|,
FLTMODE_CH,RC Channel to use for flight mode control,1 16,1,,
FLTMODE1,Flight mode for switch position 1 (910 to 1230 and above 2049),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
FLTMODE2,Flight mode for switch position 2 (1231 to 1360),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
FLTMODE3,Flight mode for switch position 3 (1361 to 1490),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
FLTMODE4,Flight mode for switch position 4 (1491 to 1620),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
FLTMODE5,Flight mode for switch position 5 (1621 to 1749),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
FLTMODE6,Flight mode for switch position 6 (1750 to 2049),,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
INITIAL_MODE,This selects the mode to start in on boot. This is useful for when you want to start in AUTO mode on boot without a receiver.,,,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|,
LIM_ROLL_CD,"Maximum bank angle commanded in modes with stabilized limits. Increase this value for sharper turns, but decrease to prevent accelerated stalls.",0 9000,10,,
LIM_PITCH_MAX,Maximum pitch up angle commanded in modes with stabilized limits.,0 9000,10,,
LIM_PITCH_MIN,Maximum pitch down angle commanded in modes with stabilized limits,-9000 0,10,,
ACRO_ROLL_RATE,The maximum roll rate at full stick deflection in ACRO mode,10 500,1,,
ACRO_PITCH_RATE,The maximum pitch rate at full stick deflection in ACRO mode,10 500,1,,
ACRO_YAW_RATE,The maximum yaw rate at full stick deflection in ACRO mode. If this is zero then rudder is directly controlled by rudder stick input. This option is only available if you also set YAW_RATE_ENABLE to 1.,0 500,1,,
ACRO_LOCKING,Enable attitude locking when sticks are released,,,0|1|,
GROUND_STEER_ALT,Altitude at which to use the ground steering controller on the rudder. If non-zero then the STEER2SRV controller will be used to control the rudder for altitudes within this limit of the home altitude.,-100 100,0.1,,
GROUND_STEER_DPS,Ground steering rate in degrees per second for full rudder stick deflection,10 360,1,,
MIXING_GAIN,"The gain for the Vtail and elevon output mixers. The default is 0.5, which ensures that the mixer doesn't saturate, allowing both input channels to go to extremes while retaining control over the output. Hardware mixers often have a 1.0 gain, which gives more servo throw, but can saturate. If you don't have enough throw on your servos with VTAIL_OUTPUT or ELEVON_OUTPUT enabled then you can raise the gain using MIXING_GAIN. The mixer allows outputs in the range 900 to 2100 microseconds.",0.5 1.2,,,
RUDDER_ONLY,Enable rudder only mode. The rudder will control attitude in attitude controlled modes (such as FBWA). You should setup your transmitter to send roll stick inputs to the RCMAP_YAW channel (normally channel 4). The rudder servo should be attached to the RCMAP_YAW channel as well. Note that automatic ground steering will be disabled for rudder only aircraft. You should also set KFF_RDDRMIX to 1.0. You will also need to setup the YAW2SRV_DAMP yaw damping appropriately for your aircraft. A value of 0.5 for YAW2SRV_DAMP is a good starting point.,,,0|1|,
MIXING_OFFSET,"The offset for the Vtail and elevon output mixers, as a percentage. This can be used in combination with MIXING_GAIN to configure how the control surfaces respond to input. The response to aileron or elevator input can be increased by setting this parameter to a positive or negative value. A common usage is to enter a positive value to increase the aileron response of the elevons of a flying wing. The default value of zero will leave the aileron-input response equal to the elevator-input response.",-1000 1000,,,
DSPOILR_RUD_RATE,"Sets the amount of deflection that the rudder output will apply to the differential spoilers, as a percentage. The default value of 100 results in full rudder applying full deflection. A value of 0 will result in the differential spoilers exactly following the elevons (no rudder effect).",-100 100,,,
SYS_NUM_RESETS,Number of APM board resets,,,,True
LOG_BITMASK,"Bitmap of what on-board log types to enable. This value is made up of the sum of each of the log types you want to be saved. It is usually best just to enable all log types by setting this to 65535. The individual bits are ATTITUDE_FAST=1, ATTITUDE_MEDIUM=2, GPS=4, PerformanceMonitoring=8, ControlTuning=16, NavigationTuning=32, Mode=64, IMU=128, Commands=256, Battery=512, Compass=1024, TECS=2048, Camera=4096, RCandServo=8192, Sonar=16384, Arming=32768, FullLogs=65535",,,,
TRIM_ARSPD_CM,Target airspeed in cm/s in automatic throttle modes. Value is as an indicated (calibrated/apparent) airspeed.,,,,
SCALING_SPEED,Airspeed in m/s to use when calculating surface speed scaling. Note that changing this value will affect all PID values,0 50,0.1,,
MIN_GNDSPD_CM,Minimum ground speed in cm/s when under airspeed control,,,,
TRIM_PITCH_CD,Offset applied to AHRS pitch used for in-flight pitch trimming. Correct ground leveling is better than changing this parameter.,-4500 4500,10,,
ALT_HOLD_RTL,Target altitude above home for RTL mode. Maintains current altitude if set to -1. Rally point altitudes are used if plane does not return to home.,,,,
ALT_HOLD_FBWCM,This is the minimum altitude in centimeters that FBWB and CRUISE modes will allow. If you attempt to descend below this altitude then the plane will level off. A value of zero means no limit.,,,,
FLAP_1_PERCNT,The percentage change in flap position when FLAP_1_SPEED is reached. Use zero to disable flaps,0 100,1,,
FLAP_1_SPEED,The speed in meters per second at which to engage FLAP_1_PERCENT of flaps. Note that FLAP_1_SPEED should be greater than or equal to FLAP_2_SPEED,0 100,1,,
FLAP_2_PERCNT,The percentage change in flap position when FLAP_2_SPEED is reached. Use zero to disable flaps,0 100,1,,
FLAP_2_SPEED,The speed in meters per second at which to engage FLAP_2_PERCENT of flaps. Note that FLAP_1_SPEED should be greater than or equal to FLAP_2_SPEED,0 100,1,,
OVERRIDE_CHAN,"If set to a non-zero value then this is an RC input channel number to use for giving IO manual control in case the main FMU microcontroller on a board with a IO co-processor fails. When this RC input channel goes above 1750 the FMU microcontroller will no longer be involved in controlling the servos and instead the IO microcontroller will directly control the servos. Note that IO manual control will be automatically activated if the FMU crashes for any reason. This parameter allows you to test for correct manual behaviour without actually crashing the FMU. This parameter is can be set to a non-zero value either for ground testing purposes or for giving the effect of an external override control board. Note that you may set OVERRIDE_CHAN to the same channel as FLTMODE_CH to get IO based override when in flight mode 6. Note that when override is triggered due to a FMU crash the 6 auxiliary output channels on the FMU will no longer be updated, so all the flight controls you need must be assigned to the first 8 channels on boards with an IOMCU.",0 16,1,,
RTL_AUTOLAND,"Automatically begin landing sequence after arriving at RTL location. This requires the addition of a DO_LAND_START mission item, which acts as a marker for the start of a landing sequence. The closest landing sequence will be chosen to the current location. If this is set to 0 and there is a DO_LAND_START mission item then you will get an arming check failure. You can set to a value of 3 to avoid the arming check failure and use the DO_LAND_START for go-around without it changing RTL behaviour. For a value of 1 a rally point will be used instead of HOME if in range (see rally point documentation).",,,0|1|2|3|,
CRASH_ACC_THRESH,"X-Axis deceleration threshold to notify the crash detector that there was a possible impact which helps disarm the motor quickly after a crash. This value should be much higher than normal negative x-axis forces during normal flight, check flight log files to determine the average IMU.x values for your aircraft and motor type. Higher value means less sensative (triggers on higher impact). For electric planes that don't vibrate much during fight a value of 25 is good (that's about 2.5G). For petrol/nitro planes you'll want a higher value. Set to 0 to disable the collision detector.",10 127,1,,
CRASH_DETECT,Automatically detect a crash during AUTO flight and perform the bitmask selected action(s). Disarm will turn off motor for safety and to help against burning out ESC and motor. Set to 0 to disable crash detection.,,,0|,
RNGFND_LANDING,This enables the use of a rangefinder for automatic landing. The rangefinder will be used both on the landing approach and for final flare,,,0|1|,
SYSID_ENFORCE,This controls whether packets from other than the expected GCS system ID will be accepted,,,0|1|,
RUDD_DT_GAIN,gain control from rudder to differential thrust,0 100,1,,
MANUAL_RCMASK,Mask of R/C channels to pass directly to corresponding output channel when in MANUAL mode. When in any mode except MANUAL the channels selected with this option behave normally. This parameter is designed to allow for complex mixing strategies to be used for MANUAL flight using transmitter based mixing. Note that when this option is used you need to be very careful with pre-flight checks to ensure that the output is correct both in MANUAL and non-MANUAL modes.,,,,
HOME_RESET_ALT,"When the aircraft is within this altitude of the home waypoint, while disarmed it will automatically update the home position. Set to 0 to continously reset it.",-1 127,,-1|0|,
FLIGHT_OPTIONS,Flight mode specific options,,,,
TKOFF_ACCEL_CNT,"This is the number of acceleration events to require for arming with TKOFF_THR_MINACC. The default is 1, which means a single forward acceleration above TKOFF_THR_MINACC will arm. By setting this higher than 1 you can require more forward/backward movements to arm.",1 10,,,
DSPOILER_CROW_W1,This is amount of deflection applied to the two outer surfaces for differential spoilers for flaps to give crow flaps. It is a number from 0 to 100. At zero no crow flaps are applied. A recommended starting value is 25.,0 100,1,,
DSPOILER_CROW_W2,This is amount of deflection applied to the two inner surfaces for differential spoilers for flaps to give crow flaps. It is a number from 0 to 100. At zero no crow flaps are applied. A recommended starting value is 45.,0 100,1,,
TKOFF_TIMEOUT,This is the timeout for an automatic takeoff. If this is non-zero and the aircraft does not reach a ground speed of at least 4 m/s within this number of seconds then the takeoff is aborted and the vehicle disarmed. If the value is zero then no timeout applies.,0 120,1,,
DSPOILER_OPTS,Differential spoiler and crow flaps options,,,0|1|2|4|,
DSPOILER_AILMTCH,"This scales down the inner flaps so less than full downwards range can be used for differential spoiler and full span ailerons, 100 is use full range, upwards travel is unaffected",0 100,1,,
FWD_BAT_VOLT_MAX,"Forward throttle battery voltage compensation maximum voltage (voltage above this will have no additional scaling effect on thrust). Recommend 4.2 * cell count, 0 = Disabled. Recommend THR_MAX is set to no more than 100 x FWD_BAT_VOLT_MIN / FWD_BAT_VOLT_MAX, THR_MIN is set to no less than -100 x FWD_BAT_VOLT_MIN / FWD_BAT_VOLT_MAX and climb descent rate limits are set accordingly.",6 35,0.1,,
FWD_BAT_VOLT_MIN,"Forward throttle battery voltage compensation minimum voltage (voltage below this will have no additional scaling effect on thrust).  Recommend 3.5 * cell count, 0 = Disabled. Recommend THR_MAX is set to no more than 100 x FWD_BAT_VOLT_MIN / FWD_BAT_VOLT_MAX, THR_MIN is set to no less than -100 x FWD_BAT_VOLT_MIN / FWD_BAT_VOLT_MAX and climb descent rate limits are set accordingly.",6 35,0.1,,
FWD_BAT_IDX,Which battery monitor should be used for doing compensation for the forward throttle,,,0|1|,
FS_EKF_THRESH,Allows setting the maximum acceptable compass and velocity variance used to check navigation health in VTOL modes,,,0.6|0.8|1.0|,
RTL_CLIMB_MIN,The vehicle will climb this many m during the initial climb portion of the RTL. During this time the roll will be limited to LEVEL_ROLL_LIMIT degrees.,0 30,1,,
MAN_EXPO_ROLL,"Percentage exponential for roll input in MANUAL, ACRO and TRAINING modes",0 100,1,,
MAN_EXPO_PITCH,"Percentage exponential for pitch input in MANUAL, ACRO and TRAINING modes",0 100,1,,
MAN_EXPO_RUDDER,"Percentage exponential for rudder input in MANUAL, ACRO and TRAINING modes",0 100,1,,
ONESHOT_MASK,Mask of output channels to use oneshot on,,,,
ADSB_TYPE,Type of ADS-B hardware for ADSB-in and ADSB-out configuration and operation. If any type is selected then MAVLink based ADSB-in messages will always be enabled,,,0|1|2|3|,
ADSB_LIST_MAX,ADSB list size of nearest vehicles. Longer lists take longer to refresh with lower SRx_ADSB values.,1 100,,,
ADSB_LIST_RADIUS,ADSB vehicle list radius filter. Vehicles detected outside this radius will be completely ignored. They will not show up in the SRx_ADSB stream to the GCS and will not be considered in any avoidance calculations. A value of 0 will disable this filter.,0 100000,,,
ADSB_ICAO_ID,"ICAO_ID unique vehicle identification number of this aircraft. This is an integer limited to 24bits. If set to 0 then one will be randomly generated. If set to -1 then static information is not sent, transceiver is assumed pre-programmed.",-1 16777215,,,
ADSB_EMIT_TYPE,ADSB classification for the type of vehicle emitting the transponder signal. Default value is 14 (UAV).,,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|,
ADSB_LEN_WIDTH,"Aircraft length and width dimension options in Length and Width in meters. In most cases, use a value of 1 for smallest size.",,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|,
ADSB_OFFSET_LAT,GPS antenna lateral offset. This describes the physical location offest from center of the GPS antenna on the aircraft.,,,0|1|2|3|4|5|6|7|,
ADSB_OFFSET_LON,"GPS antenna longitudinal offset. This is usually set to 1, Applied By Sensor",,,0|1|,
ADSB_RF_SELECT,Transceiver RF selection for Rx enable and/or Tx enable. This only effects devices that can Tx and/or Rx. Rx-only devices should override this to always be Rx-only.,,,,
ADSB_SQUAWK,"VFR squawk (Mode 3/A) code is a pre-programmed default code when the pilot is flying VFR and not in contact with ATC. In the USA, the VFR squawk code is octal 1200 (hex 0x280, decimal 640) and in most parts of Europe the VFR squawk code is octal 7000. If an invalid octal number is set then it will be reset to 1200.",0 7777,,,
ADSB_RF_CAPABLE,Describes your hardware RF In/Out capabilities.,,,,
