Name,Description,Range,Default
PWM_MAIN_FUNC13,Select what should be output on SIM Channel 13. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC14,Select what should be output on SIM Channel 14. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC15,Select what should be output on SIM Channel 15. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC16,Select what should be output on SIM Channel 16. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC2,Select what should be output on SIM Channel 2. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC3,Select what should be output on SIM Channel 3. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC4,Select what should be output on SIM Channel 4. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC5,Select what should be output on SIM Channel 5. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC6,Select what should be output on SIM Channel 6. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC7,Select what should be output on SIM Channel 7. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC8,Select what should be output on SIM Channel 8. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_FUNC9,Select what should be output on SIM Channel 9. The default failsafe value is set according to the selected function: - 'Min' for ConstantMin - 'Max' for ConstantMax - 'Max' for Parachute - ('Max'+'Min')/2 for Servos - 'Disarmed' for the rest,,0
PWM_MAIN_REV,Allows to reverse the output range for each channel. Note: this is only useful for servos.,0 65535,0
ASPD_BETA_GATE,Sets the number of standard deviations used by the innovation consistency test.,1 5,1
ASPD_BETA_NOISE,Sideslip measurement noise of the internal wind estimator(s) of the airspeed selector.,0 1,0.3
ASPD_DO_CHECKS,Controls which checks are run to check airspeed data for validity. Only applied if ASPD_PRIMARY > 0. Note that the data missing check is enabled if any of the options is set.,0 15,7
ASPD_FALLBACK_GW,"If set to true and airspeed checks are enabled, it will use a sensor-less airspeed estimation based on groundspeed minus windspeed if no other airspeed sensor available to fall back to.",,0
ASPD_FS_INNOV,"This specifies the minimum airspeed innovation required to trigger a failsafe. Larger values make the check less sensitive, smaller values make it more sensitive. Large innovations indicate an inconsistency between predicted (groundspeed - windspeeed) and measured airspeed. The time required to detect a fault when the threshold is exceeded depends on the size of the exceedance and is controlled by the ASPD_FS_INTEG parameter.",0.5 10.0,5.
ASPD_FS_INTEG,"This sets the time integral of airspeed innovation exceedance above ASPD_FS_INNOV required to trigger a failsafe. Larger values make the check less sensitive, smaller positive values make it more sensitive.",0.0 50.0,10.
ASPD_FS_T_START,Delay before switching back to using airspeed sensor if checks indicate sensor is good. Set to a negative value to disable the re-enabling in flight.,-1 1000,-1
ASPD_FS_T_STOP,Delay before stopping use of airspeed sensor if checks indicate sensor is bad.,1 10,2
ASPD_PRIMARY,Index or primary airspeed measurement source,,1
ASPD_SCALE_1,This is the scale IAS --> CAS of the first airspeed sensor instance,0.5 2.0,1.0
ASPD_SCALE_2,This is the scale IAS --> CAS of the second airspeed sensor instance,0.5 2.0,1.0
ASPD_SCALE_3,This is the scale IAS --> CAS of the third airspeed sensor instance,0.5 2.0,1.0
ASPD_SCALE_APPLY,Controls when to apply the new estimated airspeed scale(s),,1
ASPD_SC_P_NOISE,Airspeed scale process noise of the internal wind estimator(s) of the airspeed selector.,0 0.1,0.0001
ASPD_TAS_GATE,Sets the number of standard deviations used by the innovation consistency test.,1 5,3
ASPD_TAS_NOISE,True airspeed measurement noise of the internal wind estimator(s) of the airspeed selector.,0 4,1.4
ASPD_W_P_NOISE,Wind process noise of the internal wind estimator(s) of the airspeed selector.,0 1,0.1
ATT_ACC_COMP,Acceleration compensation based on GPS velocity,,1
ATT_BIAS_MAX,Gyro bias limit,0 2,0.05
ATT_EXT_HDG_M,Set to 1 to use heading estimate from vision. Set to 2 to use heading from motion capture.,0 2,0
ATT_MAG_DECL,"This parameter is not used in normal operation, as the declination is looked up based on the GPS coordinates of the vehicle.",,0.0
ATT_MAG_DECL_A,Automatic GPS based declination compensation,,1
ATT_W_ACC,Complimentary filter accelerometer weight,0 1,0.2
ATT_W_EXT_HDG,Complimentary filter external heading weight,0 1,0.1
ATT_W_GYRO_BIAS,Complimentary filter gyroscope bias weight,0 1,0.1
ATT_W_MAG,Set to 0 to avoid using the magnetometer.,0 1,0.1
FW_AT_APPLY,"After the auto-tuning sequence is completed, a new set of gains is available and can be applied immediately or after landing.",,2
FW_AT_AXES,Defines which axes will be tuned during the auto-tuning sequence Set bits in the following positions to enable: 0 : Roll 1 : Pitch 2 : Yaw,1 7,3
FW_AT_START,"WARNING: this will inject steps to the rate controller and can be dangerous. Only activate if you know what you are doing, and in a safe environment. Any motion of the remote stick will abord the signal injection and reset this parameter Best is to perform the identification in position or hold mode. Increase the amplitude of the injected signal using FW_AT_SYSID_AMP for more signal/noise ratio",,0
FW_AT_SYSID_AMP,This parameter scales the signal sent to the rate controller during system identification.,0.1 6.0,1.0
MC_AT_APPLY,"After the auto-tuning sequence is completed, a new set of gains is available and can be applied immediately or after landing. WARNING Applying the gains in air is dangerous as there is no guarantee that those new gains will be able to stabilize the drone properly.",,1
MC_AT_EN,Multicopter autotune module enable,,0
MC_AT_RISE_TIME,Desired angular rate closed-loop rise time,0.01 0.5,0.14
MC_AT_START,"WARNING: this will inject steps to the rate controller and can be dangerous. Only activate if you know what you are doing, and in a safe environment. Any motion of the remote stick will abord the signal injection and reset this parameter Best is to perform the identification in position or hold mode. Increase the amplitude of the injected signal using MC_AT_SYSID_AMP for more signal/noise ratio",,0
MC_AT_SYSID_AMP,Amplitude of the injected signal,0.1 6.0,0.7
BAT1_CAPACITY,Defines the capacity of battery 1 in mAh.,-1.0 100000,-1.0
BAT1_N_CELLS,Defines the number of cells the attached battery consists of.,,0
BAT1_R_INTERNAL,"If non-negative, then this will be used in place of BAT1_V_LOAD_DROP for all calculations.",-1.0 0.2,-1.0
BAT1_SOURCE,"This parameter controls the source of battery data. The value 'Power Module' means that measurements are expected to come from a power module. If the value is set to 'External' then the system expects to receive mavlink battery status messages. If the value is set to 'ESCs', the battery information are taken from the esc_status message. This requires the ESC to provide both voltage as well as current.",,0
BAT1_V_CHARGED,Defines the voltage where a single cell of battery 1 is considered full under a mild load. This will never be the nominal voltage of 4.2V,,4.05
BAT1_V_EMPTY,Defines the voltage where a single cell of battery 1 is considered empty. The voltage should be chosen before the steep dropoff to 2.8V. A typical lithium battery can only be discharged down to 10% before it drops off to a voltage level damaging the cells.,,3.5
BAT1_V_LOAD_DROP,This implicitely defines the internal resistance to maximum current ratio for battery 1 and assumes linearity. A good value to use is the difference between the 5C and 20-25C load. Not used if BAT1_R_INTERNAL is set.,0.07 0.5,0.3
BAT2_CAPACITY,Defines the capacity of battery 2 in mAh.,-1.0 100000,-1.0
BAT2_N_CELLS,Defines the number of cells the attached battery consists of.,,0
BAT2_R_INTERNAL,"If non-negative, then this will be used in place of BAT2_V_LOAD_DROP for all calculations.",-1.0 0.2,-1.0
BAT2_SOURCE,"This parameter controls the source of battery data. The value 'Power Module' means that measurements are expected to come from a power module. If the value is set to 'External' then the system expects to receive mavlink battery status messages. If the value is set to 'ESCs', the battery information are taken from the esc_status message. This requires the ESC to provide both voltage as well as current.",,-1
BAT2_V_CHARGED,Defines the voltage where a single cell of battery 1 is considered full under a mild load. This will never be the nominal voltage of 4.2V,,4.05
BAT2_V_EMPTY,Defines the voltage where a single cell of battery 1 is considered empty. The voltage should be chosen before the steep dropoff to 2.8V. A typical lithium battery can only be discharged down to 10% before it drops off to a voltage level damaging the cells.,,3.5
BAT2_V_LOAD_DROP,This implicitely defines the internal resistance to maximum current ratio for battery 1 and assumes linearity. A good value to use is the difference between the 5C and 20-25C load. Not used if BAT2_R_INTERNAL is set.,0.07 0.5,0.3
BAT_CRIT_THR,Sets the threshold when the battery will be reported as critically low. This has to be lower than the low threshold. This threshold commonly will trigger RTL.,0.05 0.25,0.07
BAT_EMERGEN_THR,Sets the threshold when the battery will be reported as dangerously low. This has to be lower than the critical threshold. This threshold commonly will trigger landing.,0.03 0.1,0.05
BAT_LOW_THR,Sets the threshold when the battery will be reported as low. This has to be higher than the critical threshold.,0.12 0.5,0.15
BAT_N_CELLS,This parameter is deprecated. Please use BAT1_N_CELLS instead,,3
BAT_V_CHARGED,This parameter is deprecated. Please use BAT1_V_CHARGED instead,,4.05
BAT_V_EMPTY,This parameter is deprecated. Please use BAT1_V_EMPTY instead,,3.5
BAT_V_LOAD_DROP,This parameter is deprecated. Please use BAT1_V_LOAD_DROP instead,,0.3
TRIG_ACT_TIME,This parameter sets the time the trigger needs to pulled high or low.,0.1 3000,40.0
TRIG_DISTANCE,Sets the distance at which to trigger the camera.,min:0,25.0
TRIG_INTERFACE,Selects the trigger interface,,4
TRIG_INTERVAL,This parameter sets the time between two consecutive trigger events,4.0 10000.0,40.0
TRIG_MIN_INTERVA,This parameter sets the minimum time between two consecutive trigger events the specific camera setup is supporting.,1.0 10000.0,1.0
TRIG_MODE,Camera trigger mode,0 4,0
TRIG_PINS,"Selects which FMU pin is used (range: AUX1-AUX8 on Pixhawk controllers with an I/O board, MAIN1-MAIN8 on controllers without an I/O board). The PWM interface takes two pins per camera, while relay triggers on every pin individually. Example: Value 56 would trigger on pins 5 and 6. For GPIO mode Pin 6 will be triggered followed by 5. With a value of 65 pin 5 will be triggered followed by 6. Pins may be non contiguous. I.E. 16 or 61. In GPIO mode the delay pin to pin is < .2 uS.",1 12345678,56
TRIG_PINS_EX,"This Bit mask selects which FMU pin is used (range: AUX9-AUX32) If the value is not 0 it takes precedence over TRIG_PINS. If bits above 8 are set that value is used as the selector for trigger pins. greater then 8. 0x00000300 Would be Pins 9,10. If the value is",0 2147483647,0
TRIG_POLARITY,"This parameter sets the polarity of the trigger (0 = active low, 1 = active high )",0 1,0
TRIG_PWM_NEUTRAL,PWM neutral output on trigger pin,1000 2000,1500
TRIG_PWM_SHOOT,PWM output to trigger shot,1000 2000,1900
CBRK_AIRSPD_CHK,Setting this parameter to 162128 will disable the check for an airspeed sensor. The sensor driver will not be started and it cannot be calibrated. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 162128,0
CBRK_BUZZER,"Setting this parameter to 782097 will disable the buzzer audio notification. Setting this parameter to 782090 will disable the startup tune, while keeping all others enabled.",0 782097,0
CBRK_ENGINEFAIL,Setting this parameter to 284953 will disable the engine failure detection. If the aircraft is in engine failure mode the engine failure flag will be set to healthy WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 284953,284953
CBRK_FLIGHTTERM,"Setting this parameter to 121212 will disable the flight termination action if triggered by the FailureDetector logic or if FMU is lost. This circuit breaker does not affect the RC loss, data link loss, geofence, and takeoff failure detection safety logic.",0 121212,121212
CBRK_IO_SAFETY,Setting this parameter to 22027 will disable IO safety. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 22027,22027
CBRK_RATE_CTRL,Setting this parameter to 140253 will disable the rate controller uORB publication. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 140253,0
CBRK_SUPPLY_CHK,Setting this parameter to 894281 will disable the power valid checks in the commander. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 894281,0
CBRK_USB_CHK,"Setting this parameter to 197848 will disable the USB connected checks in the commander, setting it to 0 keeps them enabled (recommended). We are generally recommending to not fly with the USB link connected and production vehicles should set this parameter to zero to prevent users from flying USB powered. However, for R&D purposes it has proven over the years to work just fine.",0 197848,197848
CBRK_VELPOSERR,Setting this parameter to 201607 will disable the position and velocity accuracy checks in the commander. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 201607,0
CBRK_VTOLARMING,Setting this parameter to 159753 will enable arming in fixed-wing mode for VTOLs. WARNING: ENABLING THIS CIRCUIT BREAKER IS AT OWN RISK,0 159753,0
COM_ARM_ARSP_EN,Deny arming if the current airspeed measurement is greater than half the cruise airspeed (FW_AIRSPD_TRIM). Excessive airspeed measurements on ground are either caused by wind or bad airspeed calibration.,,1
COM_ARM_AUTH_ID,Used if arm authorization is requested by COM_ARM_AUTH_REQ.,,10
COM_ARM_AUTH_MET,Methods: - one arm: request authorization and arm when authorization is received - two step arm: 1st arm command request an authorization and 2nd arm command arm the drone if authorized Used if arm authorization is requested by COM_ARM_AUTH_REQ.,,0
COM_ARM_AUTH_REQ,By default off. The default allows to arm the vehicle without a arm authorization.,,0
COM_ARM_AUTH_TO,Timeout for authorizer answer. Used if arm authorization is requested by COM_ARM_AUTH_REQ.,,1
COM_ARM_CHK_ESCS,"If this parameter is set, the system will check ESC's online status and failures. This param is specific for ESCs reporting status. It shall be used only if ESCs support telemetry.",,0
COM_ARM_EKF_HGT,Maximum EKF height innovation test ratio that will allow arming,0.1 1.0,1.0
COM_ARM_EKF_POS,Maximum EKF position innovation test ratio that will allow arming,0.1 1.0,0.5
COM_ARM_EKF_VEL,Maximum EKF velocity innovation test ratio that will allow arming,0.1 1.0,0.5
COM_ARM_EKF_YAW,Maximum EKF yaw innovation test ratio that will allow arming,0.1 1.0,0.5
COM_ARM_IMU_ACC,Maximum accelerometer inconsistency between IMU units that will allow arming,0.1 1.0,0.7
COM_ARM_IMU_GYR,Maximum rate gyro inconsistency between IMU units that will allow arming,0.02 0.3,0.25
COM_ARM_MAG_ANG,Set -1 to disable the check.,3 180,45
COM_ARM_MAG_STR,Check if the estimator detects a strong magnetic disturbance (check enabled by EKF2_MAG_CHECK),,2
COM_ARM_MIS_REQ,The default allows to arm the vehicle without a valid mission.,,0
COM_ARM_SDCARD,"This check detects if the FMU SD card is missing. Depending on the value of the parameter, the check can be disabled, warn only or deny arming.",,1
COM_ARM_SWISBTN,0: Arming/disarming triggers on switch transition. 1: Arming/disarming triggers when holding the momentary button down for COM_RC_ARM_HYST like the stick gesture.,,0
COM_ARM_WO_GPS,The default allows the vehicle to arm without GPS signal.,,1
COM_BAT_ACT_T,Battery state requires action -> wait COM_BAT_ACT_T seconds in Hold mode for the user to realize and take a custom action -> React with failsafe action COM_LOW_BAT_ACT A zero value disables the delay.,0.0 25.0,10.0
COM_CPU_MAX,A negative value disables the check.,-1 100,90.0
COM_DISARM_LAND,"A non-zero, positive value specifies the time-out period in seconds after which the vehicle will be automatically disarmed in case a landing situation has been detected during this period. A zero or negative value means that automatic disarming triggered by landing detection is disabled.",,2.0
COM_DISARM_PRFLT,"A non-zero, positive value specifies the time in seconds, within which the vehicle is expected to take off after arming. In case the vehicle didn't takeoff within the timeout it disarms again. A negative value disables autmoatic disarming triggered by a pre-takeoff timeout.",,10.0
COM_DL_LOSS_T,After this amount of seconds without datalink the data link lost mode triggers,5 300,10
COM_EF_C2T,Engine failure triggers only below this current value,0.0 50.0,5.0
COM_EF_THROT,Engine failure triggers only above this throttle value,0.0 1.0,0.5
COM_EF_TIME,Engine failure triggers only if the throttle threshold and the current to throttle threshold are violated for this time,0.0 60.0,10.0
COM_FLIGHT_UUID,This number is incremented automatically after every flight on disarming in order to remember the next flight UUID. The first flight is 0.,min:0,0
COM_FLTMODE1,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLTMODE2,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLTMODE3,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLTMODE4,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLTMODE5,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLTMODE6,If the main switch channel is in this range the selected flight mode will be applied.,,-1
COM_FLT_PROFILE,Describes the intended use of the vehicle. Can be used by ground control software or log post processing. This param does not influence the behavior within the firmware. This means for example the control logic is independent of the setting of this param (but depends on other params).,,0
COM_HLDL_LOSS_T,After this amount of seconds without datalink the data link lost mode triggers,60 3600,120
COM_HLDL_REG_T,After a data link loss: after this number of seconds with a healthy datalink the 'datalink loss' flag is set back to false,0 60,0
COM_HOME_EN,Set home position automatically if possible.,,1
COM_HOME_H_T,The home position will be set if the estimated positioning accuracy is below the threshold.,2 15,5.0
COM_HOME_IN_AIR,"If set to true, the autopilot is allowed to set its home position after takeoff The true home position is back-computed if a local position is estimate if available. If no local position is available, home is set to the current position.",,0
COM_HOME_V_T,The home position will be set if the estimated positioning accuracy is below the threshold.,5 25,10.0
COM_IMB_PROP_ACT,Action the system takes when an imbalanced propeller is detected by the failure detector. See also FD_IMB_PROP_THR to set the failure threshold.,,0
COM_KILL_DISARM,Timeout value for disarming when kill switch is engaged,0.0 30.0,5.0
COM_LKDOWN_TKO,"A non-zero, positive value specifies the timeframe in seconds within failure detector is allowed to put the vehicle into a lockdown state if attitude exceeds the limits defined in FD_FAIL_P and FD_FAIL_R. The check is not executed for flight modes that do support acrobatic maneuvers, e.g: Acro (MC/FW) and Manual (FW). A zero or negative value means that the check is disabled.",-1.0 5.0,3.0
COM_LOW_BAT_ACT,Action the system takes at critical battery. See also BAT_CRIT_THR and BAT_EMERGEN_THR for definition of battery states.,,0
COM_MOT_TEST_EN,"If set, enables the motor test interface via MAVLink (DO_MOTOR_TEST), that allows spinning the motors for testing purposes.",,1
COM_OBC_LOSS_T,Time-out to wait when onboard computer connection is lost before warning about loss connection,0 60,5.0
COM_OBL_ACT,"The offboard loss failsafe will only be entered after a timeout, set by COM_OF_LOSS_T in seconds.",,0
COM_OBL_RC_ACT,"The offboard loss failsafe will only be entered after a timeout, set by COM_OF_LOSS_T in seconds.",,0
COM_OBS_AVOID,Flag to enable obstacle avoidance,,0
COM_OF_LOSS_T,See COM_OBL_ACT and COM_OBL_RC_ACT to configure action.,0 60,1.0
COM_PARACHUTE,Expect and require a healthy MAVLink parachute system,,0
COM_POSCTL_NAVL,"This sets the flight mode that will be used if navigation accuracy is no longer adequate for position control. Navigation accuracy checks can be disabled using the CBRK_VELPOSERR parameter, but doing so will remove protection for all flight modes.",,0
COM_POS_FS_DELAY,"This sets number of seconds that the position checks need to be failed before the failsafe will activate. The default value has been optimised for rotary wing applications. For fixed wing applications, a larger value between 5 and 10 should be used.",1 100,1
COM_POS_FS_EPH,This is the horizontal position error (EPH) threshold that will trigger a failsafe. The default is appropriate for a multicopter. Can be increased for a fixed-wing.,,5
COM_POS_FS_EPV,This is the vertical position error (EPV) threshold that will trigger a failsafe. The default is appropriate for a multicopter. Can be increased for a fixed-wing.,,10
COM_POWER_COUNT,This configures a check to verify the expected number of 5V rail power supplies are present. By default only one is expected. Note: CBRK_SUPPLY_CHK disables all power checks including this one.,0 4,1
COM_PREARM_MODE,"Condition to enter the prearmed state, an intermediate state between disarmed and armed in which non-throttling actuators are active.",,0
COM_QC_ACT,Set command after a quadchute,,0
COM_RCL_ACT_T,RC signal not updated -> still use data for COM_RC_LOSS_T seconds Consider RC signal lost -> wait COM_RCL_ACT_T seconds in Hold mode to regain signal React with failsafe action NAV_RCL_ACT A zero value disables the delay.,0.0 25.0,15.0
COM_RCL_EXCEPT,Specify modes in which RC loss is ignored and the failsafe action not triggered.,0 31,0
COM_RC_ARM_HYST,The default value of 1000 requires the stick to be held in the arm or disarm position for 1 second.,100 1500,1000
COM_RC_IN_MODE,The default value of 0 requires a valid RC transmitter setup. Setting this to 1 allows joystick control and disables RC input handling and the associated checks. A value of 2 will generate RC control data from manual input received via MAVLink instead of directly forwarding the manual input data.,0 4,3
COM_RC_LOSS_T,After this amount of seconds without RC connection it's considered lost and not used anymore,0 35,0.5
COM_RC_OVERRIDE,"When RC stick override is enabled, moving the RC sticks more than COM_RC_STICK_OV immediately gives control back to the pilot by switching to Position mode and if position is unavailable Altitude mode. Note: Only has an effect on multicopters, and VTOLs in multicopter mode. This parameter is not considered in case of a GPS failure (Descend flight mode), where stick override is always enabled.",0 3,1
COM_RC_STICK_OV,If COM_RC_OVERRIDE is enabled and the joystick input is moved more than this threshold the autopilot the pilot takes over control.,5 80,30.0
COM_TAKEOFF_ACT,The mode transition after TAKEOFF has completed successfully.,,0
COM_VEL_FS_EVH,This is the horizontal velocity error (EVH) threshold that will trigger a failsafe. The default is appropriate for a multicopter. Can be increased for a fixed-wing.,,1
COM_WIND_WARN,A warning is triggered if the currently estimated wind speed is above this value. Warning is sent periodically (every 1min). A negative value disables the feature.,-1 30,-1.
NAV_DLL_ACT,"The data link loss failsafe will only be entered after a timeout, set by COM_DL_LOSS_T in seconds. Once the timeout occurs the selected action will be executed.",0 6,0
NAV_RCL_ACT,"The RC loss failsafe will only be entered after a timeout, set by COM_RC_LOSS_T in seconds. If RC input checks have been disabled by setting the COM_RC_IN_MODE param it will not be triggered.",1 6,2
NAV_AH_ALT,Altitude of airfield home waypoint,min:-50,600.0
NAV_AH_LAT,Latitude of airfield home waypoint,-900000000 900000000,-265847810
NAV_AH_LON,Longitude of airfield home waypoint,-1800000000 1800000000,1518423250
EKF2_ABIAS_INIT,1-sigma IMU accelerometer switch-on bias,0.0 0.5,0.2
EKF2_ABL_ACCLIM,"If the magnitude of the IMU accelerometer vector exceeds this value, the EKF delta velocity state estimation will be inhibited. This reduces the adverse effect of high manoeuvre accelerations and IMU nonlinerity and scale factor errors on the delta velocity bias estimates.",20.0 200.0,25.0
EKF2_ABL_GYRLIM,"If the magnitude of the IMU angular rate vector exceeds this value, the EKF delta velocity state estimation will be inhibited. This reduces the adverse effect of rapid rotation rates and associated errors on the delta velocity bias estimates.",2.0 20.0,3.0
EKF2_ABL_LIM,The ekf delta velocity bias states will be limited to within a range equivalent to +- of this value.,0.0 0.8,0.4
EKF2_ABL_TAU,The vector magnitude of angular rate and acceleration used to check if learning should be inhibited has a peak hold filter applied to it with an exponential decay. This parameter controls the time constant of the decay.,0.1 1.0,0.5
EKF2_ACC_B_NOISE,Process noise for IMU accelerometer bias prediction,0.0 0.01,3.0e-3
EKF2_ACC_NOISE,Accelerometer noise for covariance prediction,0.01 1.0,3.5e-1
EKF2_AID_MASK,Set bits in the following positions to enable: 0 : Set to true to use GPS data if available 1 : Set to true to use optical flow data if available 2 : Set to true to inhibit IMU delta velocity bias estimation 3 : Set to true to enable vision position fusion 4 : Set to true to enable vision yaw fusion. Cannot be used if bit position 7 is true. 5 : Set to true to enable multi-rotor drag specific force fusion 6 : set to true if the EV observations are in a non NED reference frame and need to be rotated before being used 7 : Set to true to enable GPS yaw fusion. Cannot be used if bit position 4 is true.,0 511,1
EKF2_ANGERR_INIT,1-sigma tilt angle uncertainty after gravity vector alignment,0.0 0.5,0.1
